"w-full src","ellipsis-2","text-caption","text-body2-strong","flex","w-full src 2","ellipsis-2 2","flex href 4","text-caption 2","text-body2-strong 2","flex href 5","flex 2","w-full src 3","ellipsis-2 3","text-caption 3","text-body2-strong 3","flex 3","w-full src 4","ellipsis-2 4","flex href 9","text-caption 4","text-body2-strong 4","flex href 10","flex 4","w-full src 5","ellipsis-2 5","text-caption 5","text-body2-strong 5","flex href 12","flex 5","flex href 13","flex href 14","flex href 15","text-caption 6","w-full src 6","flex href 16","text-body2-strong 6","text-neutral-300","text-body2-strong 7","text-neutral-300 2"
"https://dkstatics-public.digikala.com/digikala-products/565927a5c2f166085255124fea99448d5d45ec76_1778576534.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","جک سوسماری خودرو 2 تن پالاس مدل P1202 با بدنه فولادی مقاوم، ارتفاع بلند کردن 135 تا 320 میلی‌متر، سوپاپ ایمنی، چرخ‌های بزرگ قابل چرخش و کیف BMC برای حمل آسان","موجود در انبار دیجی کالا","۴.۵","۴,۷۱۰,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/0a32f1f67397e84ed4059b85a1d3d9bc806af5d4_1635523255.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","قیف خودرو چندکاره مناسب تمام خودروها با لوله خرطومی 35 سانتی‌متری، ساخته شده از پلاستیک مرغوب، دارای توری در دهانه، دسته روی بدنه، مناسب برای ریختن روغن موتور، بنزین، گازوئیل و ضدیخ مدل ZA-GHR1","[object Object]","موجود در انبار دیجی کالا","۴.۳","[object Object]","۱۲۸,۶۰۰","https://dkstatics-public.digikala.com/digikala-products/7dbfd7efc05317c7713af01699cb8f61e7718ce1_1777143168.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","کارواش شارژی خانگی ویوارکس مدل VR2025-PW با موتور براشلس، فشار 25 بار، دبی آب 3.5 لیتر در دقیقه، نازل 6 حالته، سیستم مکش اتوماتیک و باتری دوقلو 20 ولتی","تنها ۱ عدد در انبار باقی مانده","۴.۳","۸,۳۵۰,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/04792ece8626ee7b071517c402deeaf022e2f454_1770666439.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","کارواش دینامی آبگرم و نیمه‌صنعتی دلیکس مدل XL3800W با فشار 280 بار، توان 3800 وات، قابلیت مکش خودکار آب، حداکثر دمای آب 50 درجه و دبی 10 لیتر در دقیقه","[object Object]","موجود در انبار دیجی کالا","۴.۱","[object Object]","۳۵,۰۰۰,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/46efb92990a1ce3499410c83dfc807e93e138302_1691339623.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","خوشبوکننده خورشیدی خودرو مدل هلیکوپتر با اسانس قطره‌ای ادکلنی، چسبان قابل نصب روی داشبورد، ماندگاری سه ماه و عملکرد بدون نیاز به باتری با نور خورشید","ارسال ۳ ساعته فروشنده","۴.۱","[object Object]","۶۱۰,۰۰۰","[object Object]","","","","","","","","",""
"https://dkstatics-public.digikala.com/digikala-products/f85a59568bca622e21c2ab084b38d3dec9e5d7b0_1747029883.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","سروالف آلومینیومی خودرو مدل TPMS-4 مناسب پژو 206، 207، شاهین، اطلس، سهند، دنا و پارس با طرح لوگو، واشر آب‌بندی و بسته 4 عددی","موجود در انبار دیجی کالا","۴.۴","۲۰۰,۱۲۰","https://dkstatics-public.digikala.com/digikala-products/4506389.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","روکش فرمان خودرو مدل 16 با قطر 37 سانتی‌متر ساخته شده از چرم مصنوعی با دوام بالا و وزن 210 گرم برای افزایش راحتی و کنترل بهتر فرمان در رانندگی","[object Object]","موجود در انبار دیجی کالا","۴","[object Object]","۱۵۵,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/5468502.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","آفتابگیر رولی شیشه جلو خودرو مدل R45، جنس پلاستیک، طول 130 سانتیمتر، عرض 42 سانتیمتر، قابلیت نصب با کاپ سوکشن، وزن 300 گرم","موجود در انبار دیجی کالا","۳.۷","۳۷۵,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/971a592627eb7fbc1b9bbcd8aed25229cb75f42c_1753088637.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","کاور ریموت فلزی سیلیکونی مناسب پژو 206 و 207 مدل MC-PG-A با طراحی دو لایه مقاوم در برابر ضربه، خط و خش و گرد و غبار، ضد آب، نوار شبرنگ و بند کمری برای محافظت و سهولت استفاده","[object Object]","موجود در انبار دیجی کالا","۴.۴","[object Object]","۶۶۵,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/1549900ca3f1fe4bc9d20081eac6df14f2c16670_1734382887.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","مجموعه 24 عددی برچسب خودرو ماسا دیزاین با چسبندگی بالا، جنس کاغذ روکش‌دار، مقاوم در برابر آب، نور خورشید و دما، کیفیت چاپ بالا و برش دقیق","","۴.۴","[object Object]","۲۴۱,۸۷۰","[object Object]","[object Object]","[object Object]","ارسال فروشنده","https://www.digikala.com/statics/img/svg/productCard/topBadge/SpecialSell.svg","[object Object]","۵٪","۲۵۴,۶۰۰","",""
"","شاخ تزئینی پلاستیکی مدل 01 مجموعه 2 عددی با چسب دو طرفه قوی، سبک و مقاوم مناسب نصب روی داشبورد خودرو، کلاه کاسکت موتور و دوچرخه، فرمان و کلاه نقاب دار","موجود در انبار دیجی کالا","۳.۷","۶۹,۰۰۰","","کیت نورپردازی تزئینی داخل خودرو مدل Musical مناسب پژو 206، پژو 207، پژو پارس، ام وی ام و سمند با چراغ‌های LED رنگی، حالت‌های نورپردازی متنوع، فلشر و نصب آسان","[object Object]","ارسال سریع دیجی‌کالا","۴.۳","[object Object]","۶۸۰,۰۰۰","","کیت مکش موتور تامی تیونینگ مدل TU5_TU3_XU7_EF7_M15 مناسب پژو 206، 207، پارس، رانا، دنا، ساینا، سمند و کوییک با فیلتر اسپرت قابل شستشو، کاهش مصرف سوخت و افزایش قدرت موتور","تنها ۲ عدد در انبار باقی مانده","۴.۱","۲,۳۸۰,۰۰۰","","آفتابگیر شیشه جلو خودرو مدل عینکی تا شو با کاور نگهدارنده، جنس پلاستیک، کاهش تابش مستقیم و گرمای داخل خودرو، افزایش ایمنی و راحتی رانندگی","[object Object]","ارسال سریع دیجی‌کالا","۴.۲","[object Object]","۱۴۰,۴۱۰","","پولیش بدنه خودرو جلاسنج مدل نرم حجم 170 گرم، پولیش نهایی بدون سیلیکون با چربی کنترل شده، براق کننده و محافظت کننده بدنه از اشعه خورشید، رفع خراش و لکه قیر، مناسب استفاده دستی و ماشینی","","۴.۱","[object Object]","۲۲۴,۰۰۰","[object Object]","[object Object]","[object Object]","ارسال فروشنده","","","۶٪","۷۲۰,۰۰۰","۲۳٪","۳,۱۰۰,۰۰۰"
"","چراغ آنتی هدلایت خودرو مزاحم گیر با چیپ COB و پرتاب نور بالا، نصب آسان بدون نیاز به سوراخ کاری، دارای 4 متر سیم، قابل اتصال به فندکی یا برق مستقیم، مناسب برای تمام خودروها","ارسال فروشنده","۴","۴۸۸,۰۰۰","","برس تمیز کننده داخلی خودرو مدل CBSH با طراحی اریب و قوس‌دار، دسته خوش‌دست، انعطاف‌پذیر و بادوام، مناسب برای سطوح داشبورد، دنده و فرمان تمامی خودروها","[object Object]","موجود در انبار دیجی کالا","۴","[object Object]","۱۳۰,۰۰۰","","براش تمیزکننده کابین خودرو مدل 01 با الیاف مصنوعی نرم و کرکی، خاصیت ارتجاعی و انعطاف‌پذیر، مناسب داشبورد، روکش صندلی و قسمت‌های پلاستیکی و چرمی، حذف سریع گرد و غبار و بقایای مواد غذایی بدون آسیب به سطوح","موجود در انبار دیجی کالا","۴","۱۱۰,۰۰۰","","منبع اگزوز اسپرت مدل B520 مناسب تمامی خودروها با قطر ورودی 6cm، مقاومت بالا در برابر حرارت طولانی‌مدت، سری ضد آب و ضد زنگ، صدای بم و ابعاد 130x130x520 میلی‌متر","[object Object]","موجود در انبار دیجی کالا","۴.۴","[object Object]","۱,۵۳۰,۰۰۰","","کارواش شارژی ۳۸ بار ۸۸ ولت جاب مدل JB-8880 CAR NEW با حداکثر دبی اب ۶ لیتر بر دقیقه مجموعه ۱۳ عددی","","","","۴,۹۹۰,۰۰۰","[object Object]","","[object Object]","موجود در انبار دیجی کالا","","[object Object]","۶٪","۵۲۰,۰۰۰","۶۰٪","۱۲,۵۰۰,۰۰۰"
"","تلفن مخصوص پارک خودرو مدل GPK با استند نصب روی داشبورد و پنجره، شامل 12 عدد برچسب آهنربایی قابل تنظیم برای نمایش شماره تماس و جلوگیری از افتادن محصول","ارسال فروشنده","۳.۷","۱۰۹,۰۰۰","","آفتابگیر خودرو مدل چتری با طراحی تلسکوپی و 10 دنده فولادی، ضد اشعه UV، نصب آسان روی شیشه جلو و داشبورد، کاهش دمای داخل خودرو و محافظت موثر در برابر نور خورشید","[object Object]","موجود در انبار دیجی کالا","۳.۸","[object Object]","۵۵۴,۵۳۰","","بسته 3 عددی برچسب خودرو شامل قوانین خودرو، سیستم صوتی و فابریک با چاپ باکیفیت و چسبندگی عالی برای زیبایی و جلب توجه کابین خودرو","","۳.۹","۶۲,۰۰۰","","حوله مایکروفایبر نانوتیس مدل Microfiber Cloth ابعاد 40x39 سانتی‌متر با الیاف میکروفایبر، قدرت جذب بالا، عدم ایجاد خط و خش و پرز، مناسب پاک کردن بدنه، شیشه، داخل کابین و قسمت‌های پلاستیکی و فلزی خودرو","[object Object]","موجود در انبار دیجی کالا","۴.۲","[object Object]","۲۵۸,۰۰۰","","کنسول متحرک داخل خودرو مدل آیلین از جنس پلاستیک فشرده با طراحی شبکه‌ای، دارای 2 محفظه شامل جای لیوان و فضای مستطیل برای لوازم شخصی، پد ضربه‌گیر محافظ روکش صندلی، روزنه عبور کابل شارژ و نصب آسان برای خودروهای مختلف، کد KE13","ارسال ۳ ساعته فروشنده","۳.۹","[object Object]","۱۶۰,۰۰۰","[object Object]","[object Object]","[object Object]","موجود در انبار دیجی کالا","","","۳۶٪","۱۶۹,۰۰۰","",""
"","تسمه بکسل خودرو مدل HVG با طول 3 متر و عرض 5 سانتیمتر مناسب برای تمام خودروها","موجود در انبار دیجی کالا","۳.۹","۲۷۸,۰۰۰","","شامپو واکس بدنه خودرو نانو نکسوس مدل N155 حجم 1.5 لیتر براق کننده، تمیز کننده و محافظت کننده با پی اچ خنثی و مقاومت در برابر سرما و گرما برای بدنه، پلاستیک، فلز، چراغ، رینگ، شیشه، گلگیر و لاستیک خودرو","[object Object]","ارسال سریع دیجی‌کالا","۴.۲","[object Object]","۲۶۰,۰۰۰","","واکس داشبورد و محافظ پلاستیک و چرم خودرو رستاک مدل 150 میلی‌لیتر با خاصیت براق‌کنندگی، تمیزکنندگی و محافظت در برابر اشعه UV و جلوگیری از بخار و چرب شدن شیشه","موجود در انبار دیجی کالا","۴.۳","۱۵۸,۰۰۰","","توربو ساند کوچک مدل j.s1047 مناسب تمام خودروها از جمله لیفان، جک، پراید، پژو، تیبا، رنو، برلیانس، ام وی ام و ساینا","[object Object]","ارسال فروشنده","۳.۷","[object Object]","۱۹۵,۰۰۰","","قفل فرمان خودرو مدل F-22 از جنس فولاد با روکش PVC، ابعاد 50x7x10 سانتی‌متر، به همراه دو عدد کلید و قابلیت جدا شدن قسمت ریلی برای نظافت و روغن‌کاری","","۳.۹","[object Object]","۱,۵۲۹,۸۵۰","[object Object]","[object Object]","[object Object]","موجود در انبار دیجی کالا","","[object Object]","۲۸٪","۳۸۵,۰۰۰","۷٪","۱,۶۴۵,۰۰۰"
"","نوار تزئینی دریچه کولر خودرو مدل NTD1000 بسته 10 عددی طول 19.5 سانتی متر، جنس لاستیک و آلومینیوم، انعطاف‌پذیر، قابل برش، نصب آسان بدون نیاز به ابزار و مقاوم در برابر شست‌وشو","موجود در انبار دیجی کالا","۳.۸","۱۶۵,۰۰۰","","واکس لاستیک خودرو تایر لوکس کد TL02 حجم 1 لیتر","[object Object]","موجود در انبار دیجی کالا","۴.۷","[object Object]","۲۸۷,۰۰۰","","کارواش توسن مدل 1114CPWX","تنها ۲ عدد در انبار باقی مانده","۴.۱","۱۵,۶۶۱,۰۶۰","","نگهدارنده موبایل خودرو نادیاهوم مدل H2","[object Object]","موجود در انبار دیجی کالا","۵","[object Object]","۴۸۵,۰۰۰","","شارژر باتری خودرو 12ولت 6 آمپر هیراد مدل CH 1260","ارسال ۳ ساعته فروشنده","۴.۴","[object Object]","۲,۲۳۵,۰۰۰","[object Object]","[object Object]","","","","","۱۸٪","۵۸۹,۰۰۰","۲۰٪","۲,۸۰۰,۰۰۰"
"","کمپرسور هوا شارژی ۵۵وات 150psi ایرویگو مدل V8","موجود در انبار دیجی کالا","۵","۳,۸۰۰,۰۰۰","","زبانه کمربند ایمنی خودرو مدل Q1 سازگار با تمام خودروها، ساخته‌شده از فلز ضخیم با رنگ کوره‌ای مقاوم در برابر خط و خش، نصب آسان بدون نیاز به ابزار و طراحی فری‌سایز اسپرت و شکیل","[object Object]","موجود در انبار دیجی کالا","۴.۵","[object Object]","۱۹۷,۰۰۰","","عایق صوتی و حرارتی خودرو اسپی توره مدل نمدی ET- 109 با ابعاد 95x205 سانتی‌متر مناسب برای صندوق، کاپوت، کف و درب خودرو با قابلیتیت صداگیری و کاهش حرارت","ارسال سریع دیجی‌کالا","۴.۱","۴۴۱,۱۰۰","","آفتابگیر شیشه خودرو مدل SQR ضدآب با ابعاد 70 × 180 سانتی‌متر، نصب آسان در جلو خودرو و محافظت از داشبورد و صندلی در برابر نور و حرارت آفتاب","[object Object]","ارسال سریع دیجی‌کالا","۴.۱","[object Object]","۱۴۵,۰۰۰","","روکش فرمان چرم مدل R05 قطر 50 سانتی‌متر همراه با نخ و سوزن مخصوص دوخت","","۳.۹","[object Object]","۱۲۵,۰۰۰","[object Object]","[object Object]","[object Object]","ارسال فروشنده","","[object Object]","۱۴٪","۴,۴۰۰,۰۰۰","۶۷٪","۱,۳۵۳,۰۰۰"
"https://dkstatics-public.digikala.com/digikala-products/f85a59568bca622e21c2ab084b38d3dec9e5d7b0_1747029883.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","سروالف آلومینیومی خودرو مدل TPMS-4 مناسب پژو 206، 207، شاهین، اطلس، سهند، دنا و پارس با طرح لوگو، واشر آب‌بندی و بسته 4 عددی","موجود در انبار دیجی کالا","۴.۴","۲۰۰,۱۲۰","https://dkstatics-public.digikala.com/digikala-products/4506389.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","روکش فرمان خودرو مدل 16 با قطر 37 سانتی‌متر ساخته شده از چرم مصنوعی با دوام بالا و وزن 210 گرم برای افزایش راحتی و کنترل بهتر فرمان در رانندگی","[object Object]","موجود در انبار دیجی کالا","۴","[object Object]","۱۵۵,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/5468502.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","آفتابگیر رولی شیشه جلو خودرو مدل R45، جنس پلاستیک، طول 130 سانتیمتر، عرض 42 سانتیمتر، قابلیت نصب با کاپ سوکشن، وزن 300 گرم","موجود در انبار دیجی کالا","۳.۷","۳۷۵,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/971a592627eb7fbc1b9bbcd8aed25229cb75f42c_1753088637.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","کاور ریموت فلزی سیلیکونی مناسب پژو 206 و 207 مدل MC-PG-A با طراحی دو لایه مقاوم در برابر ضربه، خط و خش و گرد و غبار، ضد آب، نوار شبرنگ و بند کمری برای محافظت و سهولت استفاده","[object Object]","موجود در انبار دیجی کالا","۴.۴","[object Object]","۶۶۵,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/1549900ca3f1fe4bc9d20081eac6df14f2c16670_1734382887.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","مجموعه 24 عددی برچسب خودرو ماسا دیزاین با چسبندگی بالا، جنس کاغذ روکش‌دار، مقاوم در برابر آب، نور خورشید و دما، کیفیت چاپ بالا و برش دقیق","","۴.۴","[object Object]","۲۴۱,۸۷۰","[object Object]","[object Object]","[object Object]","ارسال فروشنده","https://www.digikala.com/statics/img/svg/productCard/topBadge/SpecialSell.svg","[object Object]","۵٪","۲۵۴,۶۰۰","",""
"https://dkstatics-public.digikala.com/digikala-products/211ea344f2f40820e6f2bb472aa734d2b7814a2c_1712275900.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","شاخ تزئینی پلاستیکی مدل 01 مجموعه 2 عددی با چسب دو طرفه قوی، سبک و مقاوم مناسب نصب روی داشبورد خودرو، کلاه کاسکت موتور و دوچرخه، فرمان و کلاه نقاب دار","موجود در انبار دیجی کالا","۳.۷","۶۹,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/8ed8229e813af9655ed779df349664a6315a54be_1666852482.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","کیت نورپردازی تزئینی داخل خودرو مدل Musical مناسب پژو 206، پژو 207، پژو پارس، ام وی ام و سمند با چراغ‌های LED رنگی، حالت‌های نورپردازی متنوع، فلشر و نصب آسان","[object Object]","ارسال سریع دیجی‌کالا","۴.۳","[object Object]","۶۸۰,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/88561bad03e1c09f35d88f96951f6edeb4a8ec0f_1748970151.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","کیت مکش موتور تامی تیونینگ مدل TU5_TU3_XU7_EF7_M15 مناسب پژو 206، 207، پارس، رانا، دنا، ساینا، سمند و کوییک با فیلتر اسپرت قابل شستشو، کاهش مصرف سوخت و افزایش قدرت موتور","تنها ۲ عدد در انبار باقی مانده","۴.۱","۲,۳۸۰,۰۰۰","https://dkstatics-public.digikala.com/digikala-products/4025346.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","آفتابگیر شیشه جلو خودرو مدل عینکی تا شو با کاور نگهدارنده، جنس پلاستیک، کاهش تابش مستقیم و گرمای داخل خودرو، افزایش ایمنی و راحتی رانندگی","[object Object]","ارسال سریع دیجی‌کالا","۴.۲","[object Object]","۱۴۰,۴۱۰","https://dkstatics-public.digikala.com/digikala-products/3755113.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90","پولیش بدنه خودرو جلاسنج مدل نرم حجم 170 گرم، پولیش نهایی بدون سیلیکون با چربی کنترل شده، براق کننده و محافظت کننده بدنه از اشعه خورشید، رفع خراش و لکه قیر، مناسب استفاده دستی و ماشینی","","۴.۱","[object Object]","۲۲۴,۰۰۰","[object Object]","[object Object]","[object Object]","ارسال فروشنده","https://www.digikala.com/statics/img/svg/productCard/topBadge/SpecialSell.svg","","۶٪","۷۲۰,۰۰۰","۲۳٪","۳,۱۰۰,۰۰۰"
